node,centrality,community,density,betwness,closeness,eign,volatility,type,name
244,3,11,0.08909995477159656,0.0,0.10134956833196039,3.865904906899057e-09,2,outgoing,Andrea Unger
4240,3,11,0.08909995477159656,0.0,0.10134956833196039,3.865904906899057e-09,2,outandin,Nadine Drager
4131,3,11,0.08909995477159656,0.0,0.10134956833196039,3.865904906899057e-09,2,outgoing,Mike Sips
1665,3,11,0.08909995477159656,0.0,0.14387974256140737,6.692647572735236e-06,2,outandin,Erik Trostmann
3301,3,11,0.08909995477159656,0.0,0.14387974256140737,6.692647572735236e-06,2,outandin,Klaus Hildebrandt
5461,3,11,0.08909995477159656,0.0,0.14089642305395003,2.969504955361512e-06,2,outgoing,Steffen Oeltze-Jafra
3021,3,11,0.08909995477159656,0.0,0.14089642305395003,2.969504955361512e-06,2,outandin,Juan R. Cebral
2094,3,11,0.08909995477159656,0.0,0.14089642305395003,2.969504955361512e-06,2,outgoing,Gábor Janiga
208,3,11,0.08909995477159656,0.0,0.12349588701519033,7.777163611407936e-07,2,outandin,Amin Abbasloo
5962,3,11,0.08909995477159656,0.0,0.12349588701519033,7.777163611407936e-07,2,outandin,Vitalis Wiens
338,3,11,0.08909995477159656,0.0,0.12349588701519033,7.777163611407936e-07,2,outandin,Anja C. Schunke
4851,3,11,0.08909995477159656,0.0,0.12349588701519033,7.777163611407936e-07,6,outandin,Reinhard Klein
4552,4,11,0.08909995477159656,0.0,0.14384411994626467,4.529369460430918e-06,1,incoming,Pepe Eulzer
5159,4,11,0.08909995477159656,0.0,0.14384411994626467,4.529369460430918e-06,2,outandin,Sandy Engelhardt
4358,4,11,0.08909995477159656,0.0,0.14384411994626467,4.529369460430918e-06,2,outandin,Nils Lichtenberg
4769,4,11,0.08909995477159656,0.0,0.14384411994626467,4.529369460430918e-06,2,outandin,Raffaele De Simone
1425,4,11,0.08909995477159656,0.0028429196422826994,0.11560768091990109,5.3615280723975555e-08,1,,Dirk J. Lehmann
5151,4,11,0.08909995477159656,0.0,0.14389756048618277,7.294998346296835e-06,2,outandin,Samuel Voß
4406,4,11,0.08909995477159656,0.0,0.14389756048618277,7.294998346296835e-06,2,outgoing,Oliver Beuing
804,4,11,0.08909995477159656,0.0,0.14522844655992076,1.0466890787534907e-05,2,outandin,Changgong Zhang
4859,4,11,0.08909995477159656,0.0,0.14405812062062062,6.99447870613662e-06,2,outandin,Renata G. Raidou
3813,4,11,0.08909995477159656,0.0,0.14405812062062062,6.99447870613662e-06,2,outgoing,Martin Eisemann
3673,4,11,0.08909995477159656,0.0,0.14405812062062062,6.99447870613662e-06,2,outgoing,Marcel Breeuwer
5000,5,11,0.08909995477159656,0.0,0.13430106344497525,1.0336278554480157e-06,2,outandin,Robin Bader
4074,5,11,0.08909995477159656,0.0,0.13430106344497525,1.0336278554480157e-06,2,outandin,Michael Sprenger
4353,5,11,0.08909995477159656,0.0,0.13430106344497525,1.0336278554480157e-06,2,outandin,Nikolina Ban
5445,5,11,0.08909995477159656,0.0,0.13430106344497525,1.0336278554480157e-06,2,outandin,Stefan Rüdisühli
957,5,11,0.08909995477159656,0.0,0.13430106344497525,1.0336278554480157e-06,2,outandin,Christoph Schär
4627,5,11,0.08909995477159656,0.0,0.14878012815952957,8.120132547211476e-06,2,outandin,Philipp Berg
4792,5,11,0.08909995477159656,0.0,0.14878012815952957,8.120132547211476e-06,2,outandin,Ralph Wickenhöfer
2545,5,11,0.08909995477159656,0.0,0.14407598275584946,8.076908505675292e-06,2,outgoing,Jan C. van Gemert
5957,5,11,0.08909995477159656,0.0,0.14302964068512136,5.909254834203307e-06,2,outandin,Vincent van Unen
1863,5,11,0.08909995477159656,0.0,0.14302964068512136,5.909254834203307e-06,2,outandin,Frits Koning
3928,5,11,0.08909995477159656,1.340367582405799e-06,0.12352214318336621,8.696039341677779e-07,2,outandin,Max Hermann
2300,6,11,0.08909995477159656,0.006623091316562654,0.13447202880753684,8.394941184505324e-07,2,outgoing,Holger Theisel
4514,6,11,0.08909995477159656,0.0,0.1439332095783384,1.058754360929089e-05,2,outgoing,Paul Klemm
5886,6,11,0.08909995477159656,0.0,0.1439332095783384,1.058754360929089e-05,2,outandin,Uli Niemann
3196,6,11,0.08909995477159656,0.0,0.1439332095783384,1.058754360929089e-05,2,outgoing,Katrin Hegenscheid
2271,6,11,0.08909995477159656,0.0,0.1439332095783384,1.058754360929089e-05,2,outgoing,Henry Völzke
3041,7,11,0.08909995477159656,0.0,0.14411172031823463,9.236209034453646e-06,2,outandin,Julian Thijssen
140,7,11,0.08909995477159656,0.0,0.14411172031823463,9.236209034453646e-06,2,outandin,Alexander Mordvintsev
488,7,11,0.08909995477159656,0.0,0.14411172031823463,9.236209034453646e-06,2,outandin,Baldur van Lew
4210,7,11,0.08909995477159656,7.147435209311738e-05,0.14881823782350487,8.982569866383494e-06,1,incoming,Monique Meuschke
4377,7,11,0.08909995477159656,0.0,0.15429196666125694,2.2257976172909352e-05,2,outandin,Noeska N. Smit
359,7,11,0.08909995477159656,0.0,0.15429196666125694,2.2257976172909352e-05,2,outandin,Annelot Kraima
3682,7,11,0.08909995477159656,0.0,0.15429196666125694,2.2257976172909352e-05,2,outandin,Marco C. DeRuiter
2277,7,11,0.08909995477159656,0.0,0.15429196666125694,2.2257976172909352e-05,2,outandin,Hessam Sokooti
5615,8,11,0.08909995477159656,0.0009028878162717405,0.16673451010559992,3.6916292715371355e-05,2,outgoing,Sylvia Saalfeld
4332,10,11,0.08909995477159656,1.8030731438223366e-05,0.14416535991636797,1.0411333228746846e-05,2,outandin,Nicola Pezzotti
5712,10,11,0.08909995477159656,1.8030731438223366e-05,0.14416535991636797,1.0411333228746846e-05,1,,Thomas Höllt
645,10,11,0.08909995477159656,1.8030731438223366e-05,0.14416535991636797,1.0411333228746846e-05,1,,Boudewijn P. F. Lelieveldt
5738,10,11,0.08909995477159656,0.005678467262862167,0.14533743601324903,1.0741871528385135e-05,2,outgoing,Thomas Schultz 0001
5806,14,11,0.08909995477159656,0.016068058420213558,0.16049348079087375,1.2277040196658528e-05,1,,Tobias Günther
576,19,11,0.08909995477159656,0.008801211926315625,0.1700530954084481,4.1315418196278774e-05,2,outgoing,Bernhard Preim
5434,20,11,0.08909995477159656,0.016524860353085064,0.17381792085653341,0.00013222688541413295,1,,Stefan Bruckner
1597,23,11,0.08909995477159656,0.004739997504449832,0.15689613839129432,4.0495417630026906e-05,1,incoming,Elmar Eisemann
354,24,11,0.08909995477159656,0.013738498487386588,0.17311871289122852,5.6992868178362134e-05,2,outgoing,Anna Vilanova
3129,28,11,0.08909995477159656,0.01831350831980536,0.17433950501514267,5.854450151147795e-05,1,,Kai Lawonn
2968,2,12,1.0,0.0,0.0011574074074074073,8.364742661475062e-129,2,outandin,Jorge A. Wagner Filho
6130,2,12,1.0,0.0,0.0011574074074074073,8.364742661475062e-129,2,outandin,Wolfgang Stuerzlinger
3554,2,12,1.0,0.0,0.0011574074074074073,8.364742661475062e-129,4,outandin,Luciana Porcher Nedel
2727,1,13,0.09730848861283643,0.0,0.15472340891157468,0.0005489860215410928,1,incoming,Jianping Kelvin Li
3016,2,13,0.09730848861283643,0.0,0.15474401397335544,0.000585611191764539,1,,Joyce Ma
2647,2,13,0.09730848861283643,0.0,0.15474401397335544,0.000585611191764539,1,,Jennifer Frazier
4144,2,13,0.09730848861283643,0.0,0.15474401397335544,0.000585611191764539,2,outandin,Min Shih
833,2,13,0.09730848861283643,0.0,0.15474401397335544,0.000585611191764539,2,outandin,Charles Rozhon
5655,2,13,0.09730848861283643,0.0,0.15474401397335544,0.0006142269800327985,1,,Tarik Crnovrsanin
4395,3,13,0.09730848861283643,3.3509189560144973e-07,0.15476462452396456,0.0010433180561459704,2,outandin,Oh-Hyun Kwon
6501,3,13,0.09730848861283643,0.0,0.17229727178616933,0.00034512835500409615,1,incoming,Zeng Dai
3312,3,13,0.09730848861283643,0.0,0.1813315856625977,7.17192405010146e-05,2,outgoing,Konstantinos Efstathiou 0001
6250,3,13,0.09730848861283643,0.0,0.15476462452396456,0.0007095801517905332,2,outandin,Xue Wu
5588,3,13,0.09730848861283643,0.0,0.15476462452396456,0.0007095801517905332,2,outandin,Susan M. Mniszewski
111,3,13,0.09730848861283643,0.0,0.1367670434234847,0.005634599404174556,2,outandin,Alberto Gonzalez
2593,3,13,0.09730848861283643,0.0,0.1367670434234847,0.005634599404174556,4,outandin,Jason Leigh
1874,4,13,0.09730848861283643,0.0,0.18933889537655627,0.000647565658934073,1,incoming,Furui Cheng
209,4,13,0.09730848861283643,0.0,0.1815866230545282,0.00022162245668544373,2,outandin,Amin Jourabloo
3648,4,13,0.09730848861283643,0.0,0.1815866230545282,0.00022162245668544373,2,outandin,Mao Ye
6181,4,13,0.09730848861283643,0.0,0.1815866230545282,0.00022162245668544373,2,outandin,Xiaoming Liu 0002
5328,5,13,0.09730848861283643,0.0,0.17358422481713862,0.0014702992536729659,1,incoming,Shilpika
4800,5,13,0.09730848861283643,0.0,0.16953206899998918,0.0002804809942166667,1,incoming,Ran Chen
1756,5,13,0.09730848861283643,0.0,0.16953206899998918,0.0002804809942166667,2,outgoing,Feiran Wu
2792,5,13,0.09730848861283643,0.0,0.16953206899998918,0.0002804809942166667,2,outandin,Jingmin Chen
5645,5,13,0.09730848861283643,0.0,0.18187084065204662,0.0003361724206811354,1,incoming,Tan Tang
5126,5,13,0.09730848861283643,0.0,0.18187084065204662,0.0003361724206811354,2,outandin,Sadia Rubab
2755,5,13,0.09730848861283643,0.0,0.18187084065204662,0.0003361724206811354,2,outandin,Jiewen Lai
4689,5,13,0.09730848861283643,0.0,0.15776955884941288,0.0067065332485887865,2,outandin,Preeti Malakar
5928,5,13,0.09730848861283643,0.0,0.15776955884941288,0.0067065332485887865,4,outandin,Venkatram Vishwanath
2689,6,13,0.09730848861283643,0.0,0.16970538935678778,0.0003658086145900758,2,outandin,Ji Lan
